"appid","steamDB_rating","steamDB_total_ratings"
527700, 64.63, 46
527710, 74.35, 61
527880, 0.0, 0
527950, 32.82, 15
528010, 33.15, 26
528160, 0.0, 0
528460, 70.08, 141
528790, 0.0, 0
528970, 38.75, 6
529000, 76.91, 91
529070, 0.0, 0
529090, 7.71, 2
529180, 0.0, 0
529240, 0.0, 0
529480, 72.68, 42
529500, 48.17, 29
529660, 0.0, 0
529670, 74.09, 90
529790, 59.96, 12
529900, 69.21, 41
529910, 0.0, 0
530020, 0.0, 0
530160, 43.3, 28
530340, 0.0, 0
530470, 0.0, 0
530540, 50.87, 46
530560, 0.0, 0
530620, 85.08, 3388
530820, 0.0, 0
530830, 44.76, 10
530890, 85.54, 904
530920, 66.0, 116
530930, 0.0, 0
530950, 0.0, 0
531190, 82.69, 53
531510, 0.0, 0
531660, 51.75, 47
531730, 86.22, 68
532190, 0.0, 0
532320, 54.43, 6
532470, 54.43, 6
532770, 69.58, 150
532840, 76.43, 567
533120, 76.43, 460
533260, 49.94, 20
533320, 45.9, 18
533330, 36.13, 22
533340, 21.56, 25
533620, 32.82, 147
533700, 0.0, 0
533770, 36.79, 8
533800, 0.0, 0
533990, 12.69, 4
534050, 0.0, 0
534480, 17.8, 26
534500, 78.6, 7388
535010, 28.47, 2
535150, 60.5, 50
535230, 76.25, 677
535370, 7.71, 2
535480, 0.0, 0
535490, 65.69, 66
535520, 0.0, 0
535530, 22.03, 7
535630, 51.75, 21
535750, 37.39, 3
535850, 0.0, 0
536050, 0.0, 0
536220, 76.13, 3687
536410, 57.87, 25
536930, 65.14, 2097
536950, 0.0, 0
536990, 77.76, 40
537340, 83.09, 236
537430, 0.0, 0
537520, 0.0, 0
537700, 66.92, 65
537920, 49.88, 5
538000, 0.0, 0
539470, 0.0, 0
539660, 81.48, 32
539670, 84.25, 112
540180, 16.25, 6
540370, 35.67, 12
540550, 45.94, 13
540610, 86.1, 726
540770, 0.0, 0
541150, 0.0, 0
541230, 76.98, 176
541310, 0.0, 0
541350, 0.0, 0
541930, 0.0, 0
542200, 81.48, 32
542240, 49.88, 5
542260, 92.51, 225
542270, 23.76, 9
542290, 77.92, 26
542360, 0.0, 0
542520, 61.53, 28
542790, 0.0, 0
542820, 41.03, 9
543010, 57.79, 140
543260, 0.0, 0
543290, 13.71, 7
543350, 47.03, 16
543440, 0.0, 0
543460, 47.9, 959
543600, 55.33, 17
543650, 10.46, 9
544000, 0.0, 0
544220, 16.63, 9
544270, 0.0, 0
544300, 0.0, 0
544390, 0.0, 0
544470, 0.0, 0
544510, 88.08, 92
544550, 0.0, 0
544590, 56.67, 42
545030, 82.87, 35
545240, 0.0, 0
545250, 42.12, 441
545340, 58.22, 7
545410, 69.21, 32
545430, 84.42, 39
545450, 0.0, 0
545540, 0.0, 0
545600, 0.0, 0
545620, 0.0, 0
545640, 0.0, 0
545850, 49.88, 5
545910, 0.0, 0
546120, 0.0, 0
546220, 0.0, 0
546230, 51.61, 29
546500, 0.0, 0
546670, 0.0, 0
546830, 0.0, 0
546900, 0.0, 0
547250, 6.98, 7
547260, 57.58, 46
547340, 86.22, 68
547360, 0.0, 0
547370, 0.0, 0
547670, 0.0, 0
547860, 0.0, 0
547910, 66.41, 100
547920, 17.5, 3
548170, 7.71, 2
548320, 0.0, 0
548370, 0.0, 0
548430, 0.0, 0
549030, 38.75, 6
549220, 0.0, 0
549700, 0.0, 0
549790, 0.0, 0
549910, 52.3, 40
549950, 42.97, 12
550010, 81.97, 544
550360, 69.85, 28
550590, 0.0, 0
550830, 0.0, 0
550840, 85.91, 369
551150, 0.0, 0
551190, 69.39, 50
551320, 38.92, 13
551330, 0.0, 0
551360, 0.0, 0
551370, 0.0, 0
552210, 0.0, 0
552300, 58.22, 7
552330, 0.0, 0
552450, 75.9, 259
552460, 82.66, 44
552540, 0.0, 0
552620, 0.0, 0
552880, 0.0, 0
553140, 0.0, 0
553320, 32.72, 31
553450, 38.18, 19
553500, 7.71, 2
553790, 76.92, 266
553800, 55.16, 29
553940, 0.0, 0
553950, 0.0, 0
553960, 32.12, 330
554280, 0.0, 0
554310, 60.97, 164
554560, 0.0, 0
554610, 0.0, 0
554710, 0.0, 0
554720, 0.0, 0
554920, 17.5, 3
555040, 0.0, 0
555050, 0.0, 0
555100, 0.0, 1
555150, 0.0, 0
555160, 88.73, 401
555220, 96.88, 3244
555450, 28.6, 146
